currency,rate,date
KRW,1298.53,2016-04-14
MXN,19.6655,2016-04-14
MYR,4.3737,2016-04-14
NZD,1.6395,2016-04-14
PHP,51.982,2016-04-14
SGD,1.5346,2016-04-14
THB,39.506,2016-04-14
ZAR,16.3938,2016-04-14
USD,1.1298,2016-04-13
JPY,123.47,2016-04-13
BGN,1.9558,2016-04-13
CZK,27.036,2016-04-13
DKK,7.4429,2016-04-13
GBP,0.79388,2016-04-13
HUF,310.73,2016-04-13
PLN,4.2869,2016-04-13
RON,4.47,2016-04-13
SEK,9.176,2016-04-13
CHF,1.0887,2016-04-13
NOK,9.3113,2016-04-13
HRK,7.466,2016-04-13
RUB,74.2708,2016-04-13
TRY,3.2259,2016-04-13
AUD,1.4768,2016-04-13
BRL,3.969,2016-04-13
CAD,1.4466,2016-04-13
CNY,7.3172,2016-04-13
HKD,8.7637,2016-04-13
IDR,14867.17,2016-04-13
ILS,4.2697,2016-04-13
INR,75.249,2016-04-13
KRW,1298.14,2016-04-13
MXN,19.8238,2016-04-13
MYR,4.3852,2016-04-13
NZD,1.6337,2016-04-13
PHP,52.065,2016-04-13
SGD,1.5265,2016-04-13
THB,39.611,2016-04-13
ZAR,16.6342,2016-04-13
USD,1.1396,2016-04-12
JPY,123.44,2016-04-12
BGN,1.9558,2016-04-12
CZK,27.03,2016-04-12
DKK,7.4434,2016-04-12
GBP,0.7984,2016-04-12
HUF,311.38,2016-04-12
PLN,4.2923,2016-04-12
RON,4.4708,2016-04-12
SEK,9.2138,2016-04-12
CHF,1.0874,2016-04-12
NOK,9.3515,2016-04-12
HRK,7.489,2016-04-12
RUB,75.6167,2016-04-12
TRY,3.2274,2016-04-12
AUD,1.4882,2016-04-12
BRL,4.0034,2016-04-12
CAD,1.4674,2016-04-12
CNY,7.3632,2016-04-12
HKD,8.8371,2016-04-12
IDR,14917.84,2016-04-12
ILS,4.2923,2016-04-12
INR,75.668,2016-04-12
KRW,1302.88,2016-04-12
MXN,20.0248,2016-04-12
MYR,4.4273,2016-04-12
NZD,1.654,2016-04-12
PHP,52.517,2016-04-12
SGD,1.5354,2016-04-12
THB,39.943,2016-04-12
ZAR,16.7396,2016-04-12
USD,1.139,2016-04-11
JPY,123.28,2016-04-11
BGN,1.9558,2016-04-11
CZK,27.026,2016-04-11
DKK,7.4424,2016-04-11
GBP,0.8006,2016-04-11
HUF,312.07,2016-04-11
PLN,4.2793,2016-04-11
RON,4.4675,2016-04-11
SEK,9.2815,2016-04-11
CHF,1.0877,2016-04-11
NOK,9.3809,2016-04-11
HRK,7.4875,2016-04-11
RUB,76.0574,2016-04-11
TRY,3.224,2016-04-11
AUD,1.506,2016-04-11
BRL,4.0647,2016-04-11
CAD,1.4794,2016-04-11
CNY,7.3709,2016-04-11
HKD,8.8321,2016-04-11
IDR,14956,2016-04-11
ILS,4.3075,2016-04-11
INR,75.7055,2016-04-11
KRW,1306.55,2016-04-11
MXN,20.1924,2016-04-11
MYR,4.4307,2016-04-11
NZD,1.6669,2016-04-11
PHP,52.552,2016-04-11
SGD,1.5341,2016-04-11
THB,39.956,2016-04-11
ZAR,16.7955,2016-04-11
USD,1.1363,2016-04-08
JPY,123.36,2016-04-08
BGN,1.9558,2016-04-08
CZK,27.022,2016-04-08
DKK,7.4419,2016-04-08
GBP,0.8073,2016-04-08
HUF,312.67,2016-04-08
PLN,4.2953,2016-04-08
RON,4.4685,2016-04-08
SEK,9.2928,2016-04-08
CHF,1.0874,2016-04-08
NOK,9.4183,2016-04-08
HRK,7.496,2016-04-08
RUB,76.5414,2016-04-08
TRY,3.2415,2016-04-08
AUD,1.5091,2016-04-08
BRL,4.1554,2016-04-08
CAD,1.4861,2016-04-08
CNY,7.357,2016-04-08
HKD,8.8166,2016-04-08
IDR,14936.66,2016-04-08
ILS,4.3006,2016-04-08
INR,75.677,2016-04-08
KRW,1310.43,2016-04-08
MXN,20.2108,2016-04-08
MYR,4.4433,2016-04-08
NZD,1.6757,2016-04-08
PHP,52.469,2016-04-08
SGD,1.5335,2016-04-08
THB,39.884,2016-04-08
ZAR,17.1222,2016-04-08
USD,1.1364,2016-04-07
JPY,123.15,2016-04-07
BGN,1.9558,2016-04-07
CZK,27.025,2016-04-07
DKK,7.4417,2016-04-07
GBP,0.80728,2016-04-07
HUF,312.28,2016-04-07
PLN,4.2833,2016-04-07
RON,4.4659,2016-04-07
SEK,9.2575,2016-04-07
CHF,1.0884,2016-04-07
NOK,9.4546,2016-04-07
HRK,7.5105,2016-04-07
RUB,77.3719,2016-04-07
TRY,3.2421,2016-04-07
AUD,1.5092,2016-04-07
BRL,4.1617,2016-04-07
CAD,1.4906,2016-04-07
CNY,7.3535,2016-04-07
HKD,8.8169,2016-04-07
IDR,14955.02,2016-04-07
ILS,4.3087,2016-04-07
INR,75.7135,2016-04-07
KRW,1318.1,2016-04-07
MXN,20.1779,2016-04-07
MYR,4.4705,2016-04-07
NZD,1.6731,2016-04-07
PHP,52.579,2016-04-07
SGD,1.5369,2016-04-07
THB,40.024,2016-04-07
ZAR,17.317,2016-04-07
USD,1.1336,2016-04-06
JPY,125.13,2016-04-06
BGN,1.9558,2016-04-06
CZK,27.029,2016-04-06
DKK,7.4412,2016-04-06
GBP,0.80808,2016-04-06
HUF,312.33,2016-04-06
PLN,4.2636,2016-04-06
RON,4.4685,2016-04-06
SEK,9.2628,2016-04-06
CHF,1.0887,2016-04-06
NOK,9.476,2016-04-06
HRK,7.51,2016-04-06
RUB,77.8058,2016-04-06
TRY,3.2343,2016-04-06
AUD,1.5029,2016-04-06
BRL,4.2,2016-04-06
CAD,1.4912,2016-04-06
CNY,7.355,2016-04-06
HKD,8.7927,2016-04-06
IDR,15025.07,2016-04-06
ILS,4.3296,2016-04-06
INR,75.578,2016-04-06
KRW,1318.35,2016-04-06
MXN,20.1485,2016-04-06
MYR,4.466,2016-04-06
NZD,1.6705,2016-04-06
PHP,52.456,2016-04-06
SGD,1.5373,2016-04-06
THB,40.01,2016-04-06
ZAR,17.2805,2016-04-06
USD,1.1367,2016-04-05
JPY,125.81,2016-04-05
BGN,1.9558,2016-04-05
CZK,27.036,2016-04-05
DKK,7.4421,2016-04-05
GBP,0.8016,2016-04-05
HUF,312.62,2016-04-05
PLN,4.2448,2016-04-05
RON,4.466,2016-04-05
SEK,9.256,2016-04-05
CHF,1.0892,2016-04-05
NOK,9.4995,2016-04-05
HRK,7.511,2016-04-05
RUB,78.4507,2016-04-05
TRY,3.2165,2016-04-05
AUD,1.5085,2016-04-05
BRL,4.1395,2016-04-05
CAD,1.4968,2016-04-05
CNY,7.3595,2016-04-05
HKD,8.8164,2016-04-05
IDR,15035.79,2016-04-05
ILS,4.323,2016-04-05
INR,75.5435,2016-04-05
KRW,1317.17,2016-04-05
MXN,19.9963,2016-04-05
MYR,4.4635,2016-04-05
NZD,1.678,2016-04-05
PHP,52.593,2016-04-05
SGD,1.543,2016-04-05
THB,40.103,2016-04-05
ZAR,17.0187,2016-04-05
USD,1.138,2016-04-04
JPY,126.97,2016-04-04
BGN,1.9558,2016-04-04
CZK,27.046,2016-04-04
DKK,7.4459,2016-04-04
GBP,0.79738,2016-04-04
HUF,312.29,2016-04-04
PLN,4.234,2016-04-04
RON,4.4648,2016-04-04
SEK,9.2493,2016-04-04
CHF,1.0919,2016-04-04
NOK,9.4359,2016-04-04
HRK,7.5115,2016-04-04
RUB,77.1535,2016-04-04
TRY,3.1952,2016-04-04
AUD,1.4917,2016-04-04
BRL,4.042,2016-04-04
CAD,1.4832,2016-04-04
CNY,7.3696,2016-04-04
HKD,8.8254,2016-04-04
IDR,14961.75,2016-04-04
ILS,4.3079,2016-04-04
INR,75.2275,2016-04-04
KRW,1308.19,2016-04-04
MXN,19.7227,2016-04-04
MYR,4.4317,2016-04-04
NZD,1.6605,2016-04-04
PHP,52.562,2016-04-04
SGD,1.5373,2016-04-04
THB,40.08,2016-04-04
ZAR,16.68,2016-04-04
USD,1.1432,2016-04-01
JPY,128.07,2016-04-01
BGN,1.9558,2016-04-01
CZK,27.03,2016-04-01
DKK,7.4503,2016-04-01
GBP,0.7989,2016-04-01
HUF,313.3,2016-04-01
PLN,4.244,2016-04-01
RON,4.4693,2016-04-01
SEK,9.2413,2016-04-01
CHF,1.0946,2016-04-01
NOK,9.4401,2016-04-01
HRK,7.5105,2016-04-01
RUB,77.543,2016-04-01
TRY,3.2285,2016-04-01
AUD,1.4884,2016-04-01
BRL,4.1296,2016-04-01
CAD,1.4894,2016-04-01
CNY,7.3903,2016-04-01
HKD,8.8652,2016-04-01
IDR,15007.54,2016-04-01
ILS,4.3182,2016-04-01
INR,75.8528,2016-04-01
KRW,1315.78,2016-04-01
MXN,19.8996,2016-04-01
MYR,4.4382,2016-04-01
NZD,1.6518,2016-04-01
PHP,52.615,2016-04-01
SGD,1.5389,2016-04-01
THB,40.115,2016-04-01
ZAR,16.8758,2016-04-01
USD,1.1385,2016-03-31
JPY,127.9,2016-03-31
BGN,1.9558,2016-03-31
CZK,27.051,2016-03-31
DKK,7.4512,2016-03-31
GBP,0.79155,2016-03-31
HUF,314.12,2016-03-31
PLN,4.2576,2016-03-31
RON,4.4718,2016-03-31
SEK,9.2253,2016-03-31
CHF,1.0931,2016-03-31
NOK,9.4145,2016-03-31
HRK,7.5255,2016-03-31
RUB,76.3051,2016-03-31
TRY,3.2118,2016-03-31
AUD,1.4807,2016-03-31
BRL,4.1174,2016-03-31
CAD,1.4738,2016-03-31
CNY,7.3514,2016-03-31
HKD,8.8282,2016-03-31
IDR,15024.84,2016-03-31
ILS,4.295,2016-03-31
INR,75.4298,2016-03-31
KRW,1294.88,2016-03-31
MXN,19.5903,2016-03-31
MYR,4.4078,2016-03-31
NZD,1.6411,2016-03-31
PHP,52.284,2016-03-31
SGD,1.5304,2016-03-31
THB,40.018,2016-03-31
ZAR,16.7866,2016-03-31
USD,1.1324,2016-03-30
JPY,127.37,2016-03-30
BGN,1.9558,2016-03-30
CZK,27.075,2016-03-30
DKK,7.4531,2016-03-30
GBP,0.7858,2016-03-30
HUF,314.29,2016-03-30
PLN,4.2538,2016-03-30
RON,4.4623,2016-03-30
SEK,9.242,2016-03-30
CHF,1.0913,2016-03-30
NOK,9.43,2016-03-30
HRK,7.5168,2016-03-30
RUB,76.7842,2016-03-30
TRY,3.214,2016-03-30
AUD,1.4766,2016-03-30
BRL,4.1275,2016-03-30
CAD,1.4755,2016-03-30
CNY,7.3366,2016-03-30
HKD,8.781,2016-03-30
IDR,15004.12,2016-03-30
ILS,4.2899,2016-03-30
INR,75.176,2016-03-30
KRW,1293.67,2016-03-30
MXN,19.5281,2016-03-30
MYR,4.4502,2016-03-30
NZD,1.6356,2016-03-30
PHP,52.056,2016-03-30
SGD,1.5311,2016-03-30
THB,39.894,2016-03-30
ZAR,16.9129,2016-03-30
USD,1.1194,2016-03-29
JPY,127.13,2016-03-29
BGN,1.9558,2016-03-29
CZK,27.073,2016-03-29
DKK,7.4549,2016-03-29
GBP,0.7845,2016-03-29
HUF,314.18,2016-03-29
PLN,4.2498,2016-03-29
RON,4.4645,2016-03-29
SEK,9.269,2016-03-29
CHF,1.0915,2016-03-29
NOK,9.4839,2016-03-29
HRK,7.5255,2016-03-29
RUB,76.7345,2016-03-29
TRY,3.2109,2016-03-29
AUD,1.4901,2016-03-29
BRL,4.0795,2016-03-29
CAD,1.4741,2016-03-29
CNY,7.2873,2016-03-29
HKD,8.6835,2016-03-29
IDR,14957.16,2016-03-29
ILS,4.2886,2016-03-29
INR,74.4743,2016-03-29
KRW,1306.67,2016-03-29
MXN,19.5809,2016-03-29
MYR,4.4712,2016-03-29
NZD,1.6597,2016-03-29
PHP,51.869,2016-03-29
SGD,1.5311,2016-03-29
THB,39.672,2016-03-29
ZAR,17.3156,2016-03-29
USD,1.1154,2016-03-24
JPY,125.41,2016-03-24
BGN,1.9558,2016-03-24
CZK,27.064,2016-03-24
DKK,7.4546,2016-03-24
GBP,0.78938,2016-03-24
HUF,314.24,2016-03-24
PLN,4.2788,2016-03-24
RON,4.4669,2016-03-24
SEK,9.2688,2016-03-24
CHF,1.0875,2016-03-24
NOK,9.494,2016-03-24
HRK,7.5358,2016-03-24
RUB,77.7413,2016-03-24
TRY,3.211,2016-03-24
AUD,1.4858,2016-03-24
BRL,4.1316,2016-03-24
CAD,1.4821,2016-03-24
CNY,7.2662,2016-03-24
HKD,8.6548,2016-03-24
IDR,14781.84,2016-03-24
ILS,4.2753,2016-03-24
INR,74.579,2016-03-24
KRW,1302.21,2016-03-24
MXN,19.7076,2016-03-24
MYR,4.4956,2016-03-24
NZD,1.6645,2016-03-24
PHP,51.766,2016-03-24
SGD,1.5268,2016-03-24
THB,39.407,2016-03-24
ZAR,17.2854,2016-03-24
USD,1.1171,2016-03-23
JPY,126.01,2016-03-23
BGN,1.9558,2016-03-23
CZK,27.038,2016-03-23
DKK,7.4542,2016-03-23
GBP,0.78985,2016-03-23
HUF,313.79,2016-03-23
PLN,4.2563,2016-03-23
RON,4.4655,2016-03-23
SEK,9.2315,2016-03-23
CHF,1.0894,2016-03-23
NOK,9.4863,2016-03-23
HRK,7.5415,2016-03-23
RUB,75.8478,2016-03-23
TRY,3.2111,2016-03-23
AUD,1.478,2016-03-23
BRL,4.06,2016-03-23
CAD,1.4676,2016-03-23
CNY,7.2648,2016-03-23
HKD,8.6628,2016-03-23
IDR,14760.87,2016-03-23
ILS,4.2938,2016-03-23
INR,74.6175,2016-03-23
KRW,1300.58,2016-03-23
MXN,19.4942,2016-03-23
MYR,4.4673,2016-03-23
NZD,1.6676,2016-03-23
PHP,51.848,2016-03-23
SGD,1.528,2016-03-23
THB,39.311,2016-03-23
ZAR,17.1475,2016-03-23
USD,1.1212,2016-03-22
JPY,125.13,2016-03-22
BGN,1.9558,2016-03-22
CZK,27.037,2016-03-22
DKK,7.4541,2016-03-22
GBP,0.7879,2016-03-22
HUF,312.6,2016-03-22
PLN,4.2612,2016-03-22
RON,4.4703,2016-03-22
SEK,9.2315,2016-03-22
CHF,1.0887,2016-03-22
NOK,9.447,2016-03-22
HRK,7.538,2016-03-22
RUB,76.233,2016-03-22
TRY,3.226,2016-03-22
AUD,1.4751,2016-03-22
BRL,4.0526,2016-03-22
CAD,1.4679,2016-03-22
CNY,7.2791,2016-03-22
HKD,8.6942,2016-03-22
IDR,14772.93,2016-03-22
ILS,4.3194,2016-03-22
INR,74.7605,2016-03-22
KRW,1302.05,2016-03-22
MXN,19.568,2016-03-22
MYR,4.4882,2016-03-22
NZD,1.6626,2016-03-22
PHP,51.922,2016-03-22
SGD,1.526,2016-03-22
THB,39.164,2016-03-22
ZAR,17.195,2016-03-22
USD,1.1271,2016-03-21
JPY,125.94,2016-03-21
BGN,1.9558,2016-03-21
CZK,27.035,2016-03-21
DKK,7.4544,2016-03-21
GBP,0.78303,2016-03-21
HUF,310.49,2016-03-21
PLN,4.2581,2016-03-21
RON,4.4688,2016-03-21
SEK,9.2538,2016-03-21
CHF,1.0916,2016-03-21
NOK,9.4428,2016-03-21
HRK,7.5215,2016-03-21
RUB,76.7226,2016-03-21
TRY,3.2325,2016-03-21
AUD,1.4819,2016-03-21
BRL,4.0897,2016-03-21
CAD,1.4703,2016-03-21
CNY,7.3028,2016-03-21
HKD,8.7408,2016-03-21
IDR,14874.81,2016-03-21
ILS,4.3446,2016-03-21
INR,74.9933,2016-03-21
KRW,1308.05,2016-03-21
MXN,19.5916,2016-03-21
MYR,4.5728,2016-03-21
NZD,1.6645,2016-03-21
PHP,52.296,2016-03-21
SGD,1.5324,2016-03-21
THB,39.37,2016-03-21
ZAR,17.2448,2016-03-21
USD,1.1279,2016-03-18
JPY,125.79,2016-03-18
BGN,1.9558,2016-03-18
CZK,27.035,2016-03-18
DKK,7.4542,2016-03-18
GBP,0.77855,2016-03-18
HUF,310.32,2016-03-18
PLN,4.2625,2016-03-18
RON,4.4718,2016-03-18
SEK,9.2773,2016-03-18
CHF,1.0919,2016-03-18
NOK,9.4111,2016-03-18
HRK,7.5305,2016-03-18
RUB,76.0498,2016-03-18
TRY,3.2218,2016-03-18
AUD,1.4804,2016-03-18
BRL,4.0794,2016-03-18
CAD,1.4627,2016-03-18
CNY,7.3037,2016-03-18
HKD,8.7464,2016-03-18
IDR,14754.09,2016-03-18
ILS,4.3387,2016-03-18
INR,74.7625,2016-03-18
KRW,1306.11,2016-03-18
MXN,19.4683,2016-03-18
MYR,4.5716,2016-03-18
NZD,1.655,2016-03-18
PHP,52.351,2016-03-18
SGD,1.5277,2016-03-18
THB,39.296,2016-03-18
ZAR,17.2024,2016-03-18
USD,1.1311,2016-03-17
JPY,126.28,2016-03-17
BGN,1.9558,2016-03-17
CZK,27.044,2016-03-17
DKK,7.4553,2016-03-17
GBP,0.78218,2016-03-17
HUF,310.05,2016-03-17
PLN,4.2895,2016-03-17
RON,4.4776,2016-03-17
SEK,9.2935,2016-03-17
CHF,1.0959,2016-03-17
NOK,9.4768,2016-03-17
HRK,7.5353,2016-03-17
RUB,77.356,2016-03-17
TRY,3.2366,2016-03-17
AUD,1.4828,2016-03-17
BRL,4.1438,2016-03-17
CAD,1.4701,2016-03-17
CNY,7.3317,2016-03-17
HKD,8.7744,2016-03-17
IDR,14749.54,2016-03-17
ILS,4.3565,2016-03-17
INR,75.379,2016-03-17
KRW,1312.85,2016-03-17
MXN,19.8183,2016-03-17
MYR,4.5917,2016-03-17
NZD,1.6555,2016-03-17
PHP,52.385,2016-03-17
SGD,1.5314,2016-03-17
THB,39.351,2016-03-17
ZAR,17.4138,2016-03-17
USD,1.1064,2016-03-16
JPY,125.68,2016-03-16
BGN,1.9558,2016-03-16
CZK,27.05,2016-03-16
DKK,7.4565,2016-03-16
GBP,0.7873,2016-03-16
HUF,311.43,2016-03-16
PLN,4.3023,2016-03-16
RON,4.4765,2016-03-16
SEK,9.2235,2016-03-16
CHF,1.096,2016-03-16
NOK,9.502,2016-03-16
HRK,7.5655,2016-03-16
RUB,78.608,2016-03-16
TRY,3.2362,2016-03-16
AUD,1.4911,2016-03-16
BRL,4.2224,2016-03-16
CAD,1.4798,2016-03-16
CNY,7.218,2016-03-16
HKD,8.5875,2016-03-16
IDR,14679.16,2016-03-16
ILS,4.3171,2016-03-16
INR,74.3888,2016-03-16
KRW,1321.98,2016-03-16
MXN,19.8495,2016-03-16
MYR,4.6169,2016-03-16
NZD,1.6809,2016-03-16
PHP,51.752,2016-03-16
SGD,1.5315,2016-03-16
THB,38.8,2016-03-16
ZAR,17.9375,2016-03-16
USD,1.1109,2016-03-15
JPY,125.36,2016-03-15
BGN,1.9558,2016-03-15
CZK,27.043,2016-03-15
DKK,7.4577,2016-03-15
GBP,0.78358,2016-03-15
HUF,310.53,2016-03-15
PLN,4.2889,2016-03-15
RON,4.4718,2016-03-15
SEK,9.2421,2016-03-15
CHF,1.0954,2016-03-15
NOK,9.48,2016-03-15
HRK,7.559,2016-03-15
RUB,78.7265,2016-03-15
TRY,3.2128,2016-03-15
AUD,1.4877,2016-03-15
BRL,4.1191,2016-03-15
CAD,1.4832,2016-03-15
CNY,7.2336,2016-03-15
HKD,8.6199,2016-03-15
IDR,14638.88,2016-03-15
ILS,4.3235,2016-03-15
INR,74.8283,2016-03-15
KRW,1326.8,2016-03-15
MXN,19.8474,2016-03-15
MYR,4.6023,2016-03-15
NZD,1.6709,2016-03-15
PHP,51.915,2016-03-15
SGD,1.5324,2016-03-15
THB,39.004,2016-03-15
ZAR,17.6117,2016-03-15
USD,1.1119,2016-03-14
JPY,126.36,2016-03-14
BGN,1.9558,2016-03-14
CZK,27.05,2016-03-14
DKK,7.4585,2016-03-14
GBP,0.77428,2016-03-14
HUF,310.11,2016-03-14
PLN,4.2837,2016-03-14
RON,4.4658,2016-03-14
SEK,9.281,2016-03-14
CHF,1.0969,2016-03-14
NOK,9.414,2016-03-14
HRK,7.565,2016-03-14
RUB,78.5889,2016-03-14
TRY,3.2049,2016-03-14
AUD,1.4755,2016-03-14
BRL,4.0261,2016-03-14
CAD,1.4737,2016-03-14
CNY,7.223,2016-03-14
HKD,8.6253,2016-03-14
IDR,14504.47,2016-03-14
ILS,4.3133,2016-03-14
INR,74.5653,2016-03-14
KRW,1318.77,2016-03-14
MXN,19.7648,2016-03-14
MYR,4.5746,2016-03-14
NZD,1.6591,2016-03-14
PHP,51.785,2016-03-14
SGD,1.5281,2016-03-14
THB,38.961,2016-03-14
ZAR,17.1243,2016-03-14
USD,1.109,2016-03-11
JPY,126.17,2016-03-11
BGN,1.9558,2016-03-11
CZK,27.059,2016-03-11
DKK,7.4598,2016-03-11
GBP,0.77595,2016-03-11
HUF,310.28,2016-03-11
PLN,4.3099,2016-03-11
RON,4.4669,2016-03-11
SEK,9.309,2016-03-11
CHF,1.0948,2016-03-11
NOK,9.436,2016-03-11
HRK,7.5745,2016-03-11
RUB,77.459,2016-03-11
TRY,3.1888,2016-03-11
AUD,1.4766,2016-03-11
BRL,4.0401,2016-03-11
CAD,1.4698,2016-03-11
CNY,7.2119,2016-03-11
HKD,8.6069,2016-03-11
IDR,14484.63,2016-03-11
ILS,4.3022,2016-03-11
INR,74.317,2016-03-11
KRW,1319.89,2016-03-11
MXN,19.6852,2016-03-11
MYR,4.5331,2016-03-11
NZD,1.6578,2016-03-11
PHP,51.565,2016-03-11
SGD,1.5271,2016-03-11
THB,38.937,2016-03-11
ZAR,16.9023,2016-03-11
USD,1.0857,2016-03-10
JPY,123.87,2016-03-10
BGN,1.9558,2016-03-10
CZK,27.037,2016-03-10
DKK,7.4587,2016-03-10
GBP,0.76728,2016-03-10
HUF,310.01,2016-03-10
PLN,4.2921,2016-03-10
RON,4.4585,2016-03-10
SEK,9.2361,2016-03-10
CHF,1.0941,2016-03-10
NOK,9.2926,2016-03-10
HRK,7.567,2016-03-10
RUB,76.437,2016-03-10
TRY,3.1292,2016-03-10
AUD,1.4522,2016-03-10
BRL,3.972,2016-03-10
CAD,1.4424,2016-03-10
CNY,7.0787,2016-03-10
HKD,8.4299,2016-03-10
IDR,14168.19,2016-03-10
ILS,4.2357,2016-03-10
INR,72.6645,2016-03-10
KRW,1302.89,2016-03-10
MXN,19.1827,2016-03-10
MYR,4.4438,2016-03-10
NZD,1.6277,2016-03-10
PHP,50.581,2016-03-10
SGD,1.5013,2016-03-10
THB,38.314,2016-03-10
ZAR,16.364,2016-03-10
USD,1.0973,2016-03-09
JPY,123.63,2016-03-09
BGN,1.9558,2016-03-09
CZK,27.047,2016-03-09
DKK,7.4614,2016-03-09
GBP,0.77135,2016-03-09
HUF,309.62,2016-03-09
PLN,4.3149,2016-03-09
RON,4.4637,2016-03-09
SEK,9.292,2016-03-09
CHF,1.0978,2016-03-09
NOK,9.3964,2016-03-09
HRK,7.562,2016-03-09
RUB,78.767,2016-03-09
TRY,3.1902,2016-03-09
AUD,1.465,2016-03-09
BRL,4.074,2016-03-09
CAD,1.4705,2016-03-09
CNY,7.1466,2016-03-09
HKD,8.5216,2016-03-09
IDR,14452.27,2016-03-09
ILS,4.2779,2016-03-09
INR,73.684,2016-03-09
KRW,1329.63,2016-03-09
MXN,19.5511,2016-03-09
MYR,4.5147,2016-03-09
NZD,1.6192,2016-03-09
PHP,51.417,2016-03-09
SGD,1.5171,2016-03-09
THB,38.724,2016-03-09
ZAR,16.8748,2016-03-09
USD,1.1028,2016-03-08
JPY,124.6,2016-03-08
BGN,1.9558,2016-03-08
CZK,27.058,2016-03-08
DKK,7.4614,2016-03-08
GBP,0.77608,2016-03-08
HUF,310.19,2016-03-08
PLN,4.3275,2016-03-08
RON,4.4651,2016-03-08
SEK,9.3728,2016-03-08
CHF,1.0952,2016-03-08
NOK,9.4285,2016-03-08
HRK,7.5776,2016-03-08
RUB,79.0929,2016-03-08
TRY,3.218,2016-03-08
AUD,1.4794,2016-03-08
BRL,4.169,2016-03-08
CAD,1.4695,2016-03-08
CNY,7.1744,2016-03-08
HKD,8.5656,2016-03-08
IDR,14494.1,2016-03-08
ILS,4.3113,2016-03-08
INR,74.2265,2016-03-08
KRW,1329.87,2016-03-08
MXN,19.6437,2016-03-08
MYR,4.5327,2016-03-08
NZD,1.6302,2016-03-08
PHP,51.773,2016-03-08
SGD,1.5259,2016-03-08
THB,39.028,2016-03-08
ZAR,16.9485,2016-03-08
USD,1.0953,2016-03-07
JPY,124.45,2016-03-07
BGN,1.9558,2016-03-07
CZK,27.056,2016-03-07
DKK,7.4605,2016-03-07
GBP,0.77438,2016-03-07
HUF,309.63,2016-03-07
PLN,4.3279,2016-03-07
RON,4.4623,2016-03-07
SEK,9.3309,2016-03-07
CHF,1.0962,2016-03-07
NOK,9.3583,2016-03-07
HRK,7.5783,2016-03-07
RUB,78.7226,2016-03-07
TRY,3.2014,2016-03-07
AUD,1.4776,2016-03-07
BRL,4.1228,2016-03-07
CAD,1.4652,2016-03-07
CNY,7.1381,2016-03-07
HKD,8.5081,2016-03-07
IDR,14337.48,2016-03-07
ILS,4.2865,2016-03-07
INR,73.4825,2016-03-07
KRW,1318.99,2016-03-07
MXN,19.5274,2016-03-07
MYR,4.472,2016-03-07
NZD,1.6221,2016-03-07
PHP,51.383,2016-03-07
SGD,1.5138,2016-03-07
THB,38.785,2016-03-07
ZAR,16.8358,2016-03-07
USD,1.097,2016-03-04
JPY,124.77,2016-03-04
BGN,1.9558,2016-03-04
CZK,27.058,2016-03-04
DKK,7.4609,2016-03-04
GBP,0.77483,2016-03-04
HUF,309.31,2016-03-04
PLN,4.3313,2016-03-04
RON,4.4663,2016-03-04
SEK,9.3345,2016-03-04
CHF,1.0898,2016-03-04
NOK,9.383,2016-03-04
HRK,7.594,2016-03-04
RUB,80.1674,2016-03-04
TRY,3.2027,2016-03-04
AUD,1.4859,2016-03-04
BRL,4.0834,2016-03-04
CAD,1.4717,2016-03-04
CNY,7.148,2016-03-04
HKD,8.5192,2016-03-04
IDR,14409.1,2016-03-04
ILS,4.285,2016-03-04
INR,73.591,2016-03-04
KRW,1319.78,2016-03-04
MXN,19.5613,2016-03-04
MYR,4.51,2016-03-04
NZD,1.6223,2016-03-04
PHP,51.325,2016-03-04
SGD,1.515,2016-03-04
THB,38.823,2016-03-04
ZAR,17.1275,2016-03-04
USD,1.0901,2016-03-03
JPY,124.23,2016-03-03
BGN,1.9558,2016-03-03
CZK,27.057,2016-03-03
DKK,7.4565,2016-03-03
GBP,0.77435,2016-03-03
HUF,308.94,2016-03-03
PLN,4.3339,2016-03-03
RON,4.4584,2016-03-03
SEK,9.362,2016-03-03
CHF,1.084,2016-03-03
NOK,9.4245,2016-03-03
HRK,7.6015,2016-03-03
RUB,80.0845,2016-03-03
TRY,3.192,2016-03-03
AUD,1.4852,2016-03-03
BRL,4.1949,2016-03-03
CAD,1.4644,2016-03-03
CNY,7.1298,2016-03-03
HKD,8.4755,2016-03-03
IDR,14427.47,2016-03-03
ILS,4.2402,2016-03-03
INR,73.3365,2016-03-03
KRW,1322.61,2016-03-03
MXN,19.5122,2016-03-03
MYR,4.4962,2016-03-03
NZD,1.6257,2016-03-03
PHP,51.211,2016-03-03
SGD,1.5158,2016-03-03
THB,38.677,2016-03-03
ZAR,17.1245,2016-03-03
USD,1.0856,2016-03-02
JPY,124.07,2016-03-02
BGN,1.9558,2016-03-02
CZK,27.046,2016-03-02
DKK,7.458,2016-03-02
GBP,0.7741,2016-03-02
HUF,309.96,2016-03-02
PLN,4.3297,2016-03-02
RON,4.4585,2016-03-02
SEK,9.3385,2016-03-02
CHF,1.0845,2016-03-02
NOK,9.422,2016-03-02
HRK,7.604,2016-03-02
RUB,80.0729,2016-03-02
TRY,3.1903,2016-03-02
AUD,1.501,2016-03-02
BRL,4.2523,2016-03-02
CAD,1.4595,2016-03-02
CNY,7.1125,2016-03-02
